Biana,F
Bianka,F
Bibiána,F
Bíbor,F
Bíbora,F
Bíboranna,F
Bíborka,F
Bié,F
Birgit,F
Biri,F
Bítia,F
Blandina,F
Blanka,F
Blazsena,F
Blondina,F
Bóbita,F
Bodza,F
Bogárka,F
Bogáta,F
Bogdána,F
Bogi,F
Boglár,F
Boglárka,F
Bojána,F
Bolda,F
Bolívia,F
Boni,F
Bonita,F
Bonni,F
Bora,F
Bóra,F
Borbála,F
Borbolya,F
Borcsa,F
Bori,F
Boris,F
Boriska,F
Borka,F
Boróka,F
Borostyán,F
Borsika,F
Bozsena,F
Bozsóka,F
Böbe,F
Böske,F
Brenda,F
Briana,F
Brianna,F
Briell,F
Brigi,F
Brigitta,F
Britani,F
Britni,F
Britta,F
Brohe,F
Brunella,F
Brunhilda,F
Brünhild,F
Búzavirág,F
Cecília,F
Cecilla,F
Celerina,F
Celeszta,F
Celesztina,F
Célia,F
Celina,F
Cettina,F
Cezarin,F
Cezarina,F
Cicelle,F
Ciklámen,F
Cila,F
Cili,F
Cilka,F
Cilla,F
Cinderella,F
Cinella,F
Cinka,F
Cinna,F
Cinnia,F
Cintia,F
Cipora,F
Cippóra,F
Cipra,F
Cipriána,F
Ciprienn,F
Cirel,F
Cirilla,F
Citta,F
Csaga,F
Csalka,F
Csende,F
Csendike,F
Csenge,F
Csengele,F
Csente,F
Cseperke,F
Csepke,F
Cseresznye,F
Csermely,F
Cserne,F
Csilla,F
Csillag,F
Csillagvirág,F
Csinszka,F
Csinyere,F
Csobánka,F
Csobilla,F
Csoboka,F
Csönge,F
Csöre,F
Dafna,F
Dafné,F
Dála,F
Dalanda,F
Dália,F
Daliborka,F
Dalida,F
Dalla,F
Dalma,F
Damajanti,F
Damarisz,F
Damiána,F
Damira,F
Damjána,F
Dana,F
Danica,F
Daniela,F
Daniéla,F
Daniella,F
Danila,F
Danka,F
Danna,F
Danuta,F
Dára,F
Daria,F
Dária,F
Darina,F
Darinka,F
Darla,F
Davina,F
Dea,F
Debóra,F
Delani,F
Delfina,F
Délia,F
Délibáb,F
Delila,F
Delina,F
Delinda,F
Delinke,F
Della,F
Demetria,F
Déna,F
Denerisz,F
Denisza,F
Denissza,F
Deniza,F
Deodáta,F
Derien,F
Detti,F
Dettina,F
Déva,F
Devana,F
Deveni,F
Devínia,F
Dezdemóna,F
Dézi,F
Dezideráta,F
Dezidéria,F
Dia,F
Diana,F
Diána,F
Diandra,F
Didra,F
Diké,F
Dilara,F
Dimitra,F
Dina,F
Dinara,F
Dió,F
Dionízia,F
Diotíma,F
Ditke,F
Ditta,F
Ditte,F
Ditti,F
Dolli,F
Dolóresz,F
Dolorita,F
Doloróza,F
Domicella,F
Domiciána,F
Dominika,F
Dominka,F
Domitilla,F
Donáta,F
Donatella,F
Donja,F
Donna,F
Dóra,F
Dorabella,F
Doren,F
Doretta,F
Dóri,F
Dorina,F
Dorinda,F
Dorinka,F
Dorisz,F
Dorit,F
Dorka,F
Dorkás,F
Dorkász,F
Dormánka,F
Dorotea,F
Doroti,F
Dorotina,F
Dorottya,F
Dotti,F
Döníz,F
Druzsiána,F
Dulcinea,F
Dusánka,F
Dusenka,F
Dusmáta,F
Dvora,F
Dzsamila,F
Dzsámília,F
Dzsamilla,F
Dzsenet,F
Dzsenifer,F
Dzsenisz,F
Dzsenna,F
Dzsenni,F
Dzsesszika,F
Dzsindzser,F
Écska,F
Éda,F
Edda,F
Edentina,F
Edina,F
Edit,F
Edmunda,F
Edna,F
Édra,F
Édua,F
Eduárda,F
Edvarda,F
Edvina,F
Effi,F
Efrata,F
Egberta,F
Egres,F
Eija,F
Eisa,F
Ekaterina,F
Ékes,F
Elanor,F
Eleanor,F
Elefteria,F
Elektra,F
Elen,F
Elena,F
Eleni,F
Elenor,F
Eleonóra,F
Életke,F
Elfrida,F
Elga,F
Eliána,F
Elida,F
Elif,F
Elin,F
Elina,F
Elinor,F
Eliora,F
Eliska,F
Eliz,F
Elíz,F
Eliza,F
Elizabell,F
Elizabet,F
Elizia,F
Elizin,F
Elka,F
Elke,F
Ella,F
Elli,F
Ellina,F
Elma,F
Elmira,F
Eloiz,F
Elvira,F
Elza,F
Emanuéla,F
Emerencia,F
Emerika,F
Emerina,F
Emerita,F
Emerka,F
Emese,F
Émi,F
Emili,F
Emilia,F
Emília,F
Emiliána,F
Emina,F
Emíra,F
Emma,F
Emmaléna,F
Emmaróza,F
Emmi,F
Em?,F
Em?ke,F
Enciána,F
Ené,F
Enéh,F
Enese,F
Enet,F
Enid,F
Enik?,F
Enja,F
Enna,F
Enola,F
Éovin,F
Eper,F
Eperke,F
Epifánia,F
Eponin,F
Era,F
Erátó,F
Erika,F
Erina,F
Ermelinda,F
Erna,F
Ernella,F
Erneszta,F
Ernesztin,F
Ernesztina,F
Ervina,F
Ervínia,F
Erzsébet,F
Erzsi,F
Esma,F
Estella,F
Estike,F
Estilla,F
Eszmeralda,F
Esztella,F
Eszténa,F
Eszter,F
Eta,F
Etel,F
Etelka,F
Etka,F
Etta,F
Etus,F
Eudókia,F
Eudoxia,F
Eufémia,F
Eufrozina,F
Eugénia,F
Eulália,F
Eunika,F
Euniké,F
Euridiké,F
Európa,F
Eutímia,F
Euzébia,F
Éva,F
Evangelika,F
Evangelina,F
Evelin,F
Evelina,F
Evetke,F
Évi,F
Evica,F
Evila,F
Evina,F
Evita,F
Evódia,F
Evolet,F
Evolett,F
Evra,F
Fabiána,F
Fabióla,F
Fabrícia,F
Fadett,F
Fahéj,F
Fáni,F
Fanna,F
Fanni,F
Fantina,F
Fárá,F
Fáta,F
Fatima,F
Fatime,F
Fausztina,F
Fébé,F
Febrónia,F
Federika,F
Fedóra,F
Fédra,F
Fehér,F
Fehéra,F
Fehére,F
Fehérke,F
Felda,F
Felícia,F
Feliciána,F
Felicita,F
Felicitás,F
Felicitász,F
Femke,F
Fenenna,F
Feodóra,F
Ferdinanda,F
Fernanda,F
Fiametta,F
Fiamma,F
Fidélia,F
Filadelfia,F
Filippa,F
Fillisz,F
Filoméla,F
Filoména,F
Filotea,F
Fióna,F
Fiorella,F
Fioretta,F
Firtos,F
Flamina,F
Flanna,F
Flávia,F
Flóra,F
Floransz,F
Florencia,F
Florentina,F
Florianna,F
Florica,F
Florina,F
Florinda,F
Fortuna,F
Fortunáta,F
F?be,F
Franciska,F
Frangipáni,F
Franka,F
Franni,F
Freja,F
Frézia,F
Frida,F
Friderika,F
Fruzsina,F
Fulvia,F
Fürtike,F
Füzér,F
Füzike,F
Gabriella,F
Gaia,F
Gajána,F
Gala,F
Galamb,F
Galatea,F
Gália,F
Galina,F
Ganka,F
Gardénia,F
Gauri,F
Géda,F
Géla,F
Gemella,F
Gemma,F
Génia,F
Genovéva,F
Georgina,F
Gerbera,F
Gerda,F
Gerle,F
Gerti,F
Gertrúd,F
Gertrúdisz,F
Gesztenye,F
Gilberta,F
Gilda,F
Gina,F
Giszmunda,F
Gitka,F
Gitta,F
Giza,F
Gizella,F
Glenda,F
Glenna,F
Glória,F
Godiva,F
Golda,F
Golde,F
Goldi,F
Goldina,F
Gordána,F
Grácia,F
Graciána,F
Graciella,F
Grész,F
Gréta,F
Gréte,F
Gréti,F
Grizelda,F
Grizeldisz,F
Gunda,F
Gvenda,F
Gvendolin,F
Gyémánt,F
Gyopár,F
Gyopárka,F
Gyömbér,F
Gyöngy,F
Gyöngyi,F
Gyöngyike,F
Gyöngyös,F
Gyöngyvér,F
Gyöngyvirág,F
Györgyi,F
Györgyike,F
Hadassa,F
Hágár,F
Hajna,F
Hajnácska,F
Hajnal,F
Hajnalka,F
Hajni,F
Halina,F
Hana,F
Hanga,F
Hani,F
Hanife,F
Hanka,F
Hanna,F
Hannabella,F
Hannadóra,F
Hannaliza,F
Hannaróza,F
Hanni,F
Hargita,F
Hargitta,F
Harmat,F
Harmatka,F
Harriet,F
Hatidzse,F
Havadi,F
Havaska,F
Heba,F
Hébé,F
Héda,F
Hedda,F
Hédi,F
Hedvig,F
Heidi,F
Héla,F
Helen,F
Helén,F
Helena,F
Heléna,F
Helga,F
Héli,F
Hélia,F
Helka,F
Hella,F
Helza,F
Heni,F
Henna,F
Henni,F
Henriett,F
Henrietta,F
Héra,F
Hermia,F
Hermina,F
Herta,F
Heszna,F
Hessza,F
Hetti,F
Hiacinta,F
Hieronima,F
Hilária,F
Hilda,F
Hildegárd,F
Hildelita,F
Hilka,F
Hina,F
Hippia,F
Hippolita,F
Hófehérke,F
Holda,F
Holli,F
Honóra,F
Honoráta,F
Honória,F
Honorina,F
Honorka,F
Horácia,F
Hortenzia,F
Hóvirág,F
Huberta,F
Hunóra,F
Hunorka,F
Hürrem,F
Ibolya,F
Ibolyka,F
Ica,F
Ida,F
Idril,F
Iduna,F
Ifigénia,F
Iglice,F
Ignácia,F
Ika,F
Ila,F
Ilang,F
Ilcsi,F
Ilda,F
Ildi,F
Ildikó,F
Ilitia,F
Ilka,F
Illa,F
Illangó,F
Ilma,F
Ilna,F
Ilon,F
Ilona,F
Ilonka,F
Ilus,F
Iluska,F
Ilza,F
Ilze,F
Imela,F
Imelda,F
Immakuláta,F
Imodzsen,F
Imogén,F
Imola,F
Inana,F
Inci,F
India,F
Indira,F
Indra,F
Inessza,F
Inez,F
Inge,F
Ingeborg,F
Ingrid,F
Inka,F
Innocencia,F
Ippolita,F
Ira,F
Iremide,F
Irén,F
Iréne,F
Irénke,F
Irina,F
Iringó,F
Írisz,F
Irma,F
Isméria,F
Itala,F
Ivána,F
Ivett,F
Ivetta,F
Ivica,F
Ivid?,F
Ivola,F
Ivon,F
Ivonn,F
Iza,F
Izabel,F
Izabell,F
Izabella,F
Izaura,F
Izidóra,F
Ízisz,F
Izméne,F
Izolda,F
Izóra,F
Jácinta,F
Jáde,F
Jádránka,F
Jadviga,F
Jáel,F
Jáél,F
Jaffa,F
Jáhel,F
Jaina,F
Jakobina,F
Jamina,F
Jamuná,F
Jana,F
Jána,F
Janina,F
Janka,F
Janna,F
Jara,F
Jára,F
Járá,F
Jarmila,F
Jászira,F
Jávorka,F
Jázmin,F
Jázmina,F
Jelena,F
Jelina,F
Jelka,F
Jella,F
Jemima,F
Jenni,F
Jente,F
Jerne,F
Jeronima,F
Jerta,F
Jeszénia,F
Jetta,F
Jetti,F
Jiszka,F
Joana,F
Johanka,F
Johanna,F
Johara,F
Jokébed,F
Jola,F
Jolán,F
Jolanda,F
Jolánka,F
Jolánta,F
Joli,F
Jolina,F
Jonka,F
Jonna,F
Jordána,F
Joszina,F
Jována,F
Jozefa,F
Jozefin,F
Jozefina,F
Józsa,F
Juci,F
Judit,F
Julcsi,F
Juli,F
Júlia,F
Juliána,F
Julianna,F
Julietta,F
Julilla,F
Julinka,F
Juliska,F
Julitta,F
Julka,F
Júnó,F
Jusztícia,F
Jusztina,F
Jusztínia,F
Jutka,F
Jutta,F
Kádizsá,F
Kála,F
Kali,F
Kalina,F
Kalipszó,F
Kalli,F
Kalliopé,F
Kalliszta,F
Kalpavalli,F
Kámea,F
Kamélia,F
Kamilia,F
Kamília,F
Kamilla,F
Kandida,F
Karen,F
Karin,F
Karina,F
Kárisz,F
Karitász,F
Karla,F
Karméla,F
Karmelina,F
Karmella,F
Karmen,F
Kármen,F
Kármin,F
Karola,F
Karolin,F
Karolina,F
Karolt,F
Kasszandra,F
Kassziopeia,F
Kata,F
Katalea,F
Katalin,F
Katalina,F
Katarina,F
Katerina,F
Kati,F
Katica,F
Katinka,F
Kató,F
Katrin,F
Katrina,F
Kátya,F
Kecia,F
Keikó,F
Kéla,F
Kelda,F
Kelli,F
Kendra,F
Kenza,F
Kéra,F
Kéren,F
Kerka,F
Kersztin,F
Kerubina,F
Késa,F
Ketrin,F
Kiara,F
Kikinda,F
Kiliána,F
Kimberli,F
Kincs,F
Kincse,F
Kincs?,F
Kinga,F
Kira,F
Kíra,F
Kiri,F
Kirilla,F
Kirtana,F
Kisanna,F
Kisó,F
Kitana,F
Kitti,F
Klára,F
Klári,F
Klarisz,F
Klarissza,F
Klaudetta,F
Klaudia,F
Klaudiána,F
Klea,F
Klélia,F
Klemátisz,F
Klemencia,F
Klementin,F
Klementina,F
Kleó,F
Kleopátra,F
Klió,F
Kloé,F
Klotild,F
Kolett,F
Koletta,F
Kolomba,F
Kolombina,F
Konkordia,F
Konstancia,F
Konstantina,F
Kora,F
Korália,F
Korall,F
Kordélia,F
Koretta,F
Korina,F
Korinna,F
Kornélia,F
Koronilla,F
Kozett,F
Kozima,F
Kökény,F
Kreola,F
Kreszcencia,F
Krimhilda,F
Kriszta,F
Krisztabell,F
Kriszti,F
Krisztiána,F
Krisztin,F
Krisztina,F
Krizanta,F
Krizia,F
Kunigunda,F
Kunti,F
Küllikki,F
Küne,F
Ladiszla,F
Lagerta,F
Laksmi,F
Lalita,F
Lamberta,F
Lana,F
Lara,F
Larcia,F
Larett,F
Larina,F
Larissza,F
Lartia,F
Latífe,F
Latiká,F
Latinka,F
Laura,F
Laurencia,F
Lauretta,F
Lava,F
Lavanda,F
Lavínia,F
Lea,F
Leandra,F
Léda,F
Leila,F
Lejka,F
Lejla,F
Lejle,F
Lejre,F
Léla,F
Lélia,F
Lelle,F
Lemna,F
Léna,F
Lencsi,F
Léni,F
Lenita,F
Lenka,F
Lenke,F
Lenor,F
Lenóra,F
Leona,F
Leonarda,F
Leonetta,F
Leoni,F
Leonor,F
Leonóra,F
Leontina,F
Leopolda,F
Leopoldina,F
Leóti,F
Leticia,F
Letícia,F
Letisa,F
Létó,F
Letta,F
Letti,F
Levendula,F
Levina,F
Levízia,F
Lexa,F
Lia,F
Liana,F
Liána,F
Lianna,F
Liara,F
Lícia,F
Lida,F
Lidi,F
Lídia,F
Lígia,F
Lili,F
Lilia,F
Lilian,F
Lilián,F
Liliána,F
Lilianna,F
Lilibell,F
Lilibet,F
Lilien,F
Liliom,F
Liliróza,F
Lilit,F
Lilita,F
Lilla,F
Lilu,F
Lina,F
Linda,F
Linéa,F
Linett,F
Linetta,F
Linka,F
Lionella,F
Lióra,F
Lira,F
Líra,F
Líria,F
Lita,F
Lítia,F
Liv,F
Lívia,F
Liviána,F
Livianna,F
Liz,F
Liza,F
Lizabell,F
Lizabella,F
Lizabett,F
Lizandra,F
Lizanka,F
Lizanna,F
Lizavéta,F
Lizbett,F
Lízel,F
Lizett,F
Lizetta,F
Lizi,F
Lízia,F
Lizinka,F
Ljuba,F
Lóisz,F
Lola,F
Lolita,F
Lolli,F
Lona,F
Lóna,F
Lonci,F
Lonka,F
Lora,F
Lorabell,F
Lorabella,F
Lorella,F
Lorena,F
Loréna,F
Lorenza,F
Lorett,F
Loretta,F
Lori,F
Loriana,F
Lorin,F
Lorina,F
Lorka,F
Lorna,F
Lotta,F
Lotte,F
Lotti,F
Luca,F
Lúcia,F
Luciána,F
Lucilla,F
Lucinda,F
Lúcsia,F
Ludmilla,F
Ludovika,F
Lujza,F
Lujzi,F
Lukrécia,F
Lula,F
Lulu,F
Luna,F
Lupitá,F
Lüszi,F
Mábel,F
Mabella,F
Madita,F
Madlen,F
Madléna,F
Magda,F
Magdaléna,F
Magdi,F
Magdó,F
Magdolna,F
Magnólia,F
Magorka,F
Mahália,F
Maida,F
Maja,F
Majoranna,F
Makaréna,F
Makrina,F
Malajka,F
Maléna,F
Malina,F
Malka,F
Málna,F
Malvin,F
Malvina,F
Mályva,F
Maminti,F
Mana,F
Manda,F
Mandola,F
Mandorla,F
Mandula,F
Manfréda,F
Manga,F
Manka,F
Manna,F
Manolita,F
Manon,F
Manszvéta,F
Manuela,F
Manuéla,F
Manuella,F
Manyi,F
Mara,F
Marcella,F
Marcellina,F
Maréza,F
Margarét,F
Margaréta,F
Margaretta,F
Margarita,F
Margit,F
Margita,F
Margitta,F
Margitvirág,F
Margó,F
Mari,F
Mária,F
Mariam,F
Mariann,F
Marianna,F
Marica,F
Mariella,F
Mariett,F
Marietta,F
Marika,F
Marilla,F
Marina,F
Marinella,F
Marinetta,F
Marinka,F
Marion,F
Marióra,F
Mariska,F
Marita,F
Markéta,F
Marléne,F
Márta,F
Márti,F
Martina,F
Martinella,F
Martinka,F
Masa,F
Mása,F
Matild,F
Matilda,F
Mátka,F
Maura,F
Maurícia,F
Maxima,F
Maximilla,F
Mea,F
Méda,F
Medárda,F
Médea,F
Médeia,F
Médi,F
Medina,F
Medó,F
Medóra,F
Megán,F
Megara,F
Meggi,F
Mehdia,F
Meike,F
Meira,F
Melani,F
Melánia,F
Melba,F
Mélia,F
Melina,F
Melinda,F
Melióra,F
Melissza,F
Melitta,F
Melizand,F
Melodi,F
Melódia,F
Meluzina,F
Mena,F
Mendi,F
Menodóra,F
Menta,F
Méra,F
Méráb,F
Mercédesz,F
Meredisz,F
Meri,F
Méri,F
Meril,F
Merilin,F
Merima,F
Messzua,F
Méta,F
Metella,F
Métisz,F
Metta,F
Mézi,F
Mia,F
Miana,F
Mici,F
Miett,F
Mietta,F
Mihaéla,F
Mikaéla,F
Mikolt,F
Mila,F
Milágrosz,F
Milana,F
Milanna,F
Milda,F
Mildi,F
Milena,F
Miléna,F
Miletta,F
Milica,F
Milijana,F
Milka,F
Milla,F
Milli,F
Mimi,F
Mimma,F
Mimóza,F
Mina,F
Mína,F
Mínea,F
Minerva,F
Minetta,F
Minka,F
Minna,F
Minóna,F
Mira,F
Míra,F
Mirabel,F
Mirabell,F
Mirabella,F
Mirana,F
Miranda,F
Mirandella,F
Mirandola,F
Mirandolína,F
Mirázs,F
Mirea,F
